id,time,director,star,cost
1,"1 hour, 33 minutes",Robert Rodriguez,"Taylor Lautner, Taylor Dooley","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99,"
2,4/12/2015,Michael Slovis,53 minutes,"Buy SD $2.99,Buy HD $38.99,Buy SD $28.99,"
3,"2 hours, 37 minutes",Anthony Russo,"Chris Evans, Samuel L. Jackson","Buy HD $19.99,Buy SD $14.99,"
4,"2 hours, 26 minutes",David Yates,"Bill Nighy, Emma Watson","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
5,"2 hours, 1 minute",James Gunn,"Chris Pratt, Zoe Saldana","Buy HD $19.99,Buy SD $14.99,"
6,44 minutes,Richard J. Lewis,"Jim Caviezel, Kevin Chapman","Buy SD $1.99,Buy HD $34.99,Buy SD $34.99,"
7,"2 hours, 11 minutes",Justin Lin,"Vin Diesel, Paul Walker","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
8,"2 hours, 21 minutes",Ron Howard,"Tom Hanks, Bill Paxton","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
9,"1 hour, 58 minutes",Joel Coen,"Jeff Bridges, John Goodman","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
10,"1 hour, 12 minutes",Curt Geda,"Justin Gross, Grey Griffin","Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
11,"1 hour, 39 minutes",Matthew Hope,"Toby Kebbell, Adi Bielski","Buy SD $5.99,"
12,"3 hours, 7 minutes",Neil Burger,"Shailene Woodley, Theo James","Buy HD $19.99,Buy SD $14.99,"
13,"2 hours, 16 minutes",Anthony Russo,"Chris Evans, Samuel L. Jackson","Buy HD $19.99,Buy SD $14.99,"
14,"2 hours, 2 minutes",Rob Bowman,"David Duchovny, Gillian Anderson","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
15,"1 hour, 43 minutes",Michael Curtiz,"Humphrey Bogart, Ingrid Bergman","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
16,"2 hours, 9 minutes",Guy Ritchie,"Robert Downey Jr., Jude Law","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
17,"3 hours, 21 minutes",Peter Jackson,"Noel Appleby, Ali Astin","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
18, 388 minutes ,George Lucas,Mark Hamill,$99.98 
19, 84 minutes ,Mike Judge,Luke Wilson,$5.00 
20,25 minutes,Kyle Jones,"Kelli Cousins, Ai Maeda","Buy SD $24.99,"
21,"1 hour, 59 minutes",Carl Rinsch,"Keanu Reeves, Hiroyuki Sanada","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
22,"2 hours, 24 minutes",Robert Zemeckis,"Paul Sanchez, Lari White","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
23,"2 hours, 13 minutes",Andrew Stanton,"Taylor Kitsch, Lynn Collins","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
24,"1 hour, 44 minutes",William Friedkin,"Gene Hackman, Fernando Rey","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
25, 165 minutes ,Christopher Nolan,Christian Bale,$11.99 
26, 400 minutes ,Carl Franklin,Joseph Mazzello,$17.99 
27,"4 hours, 24 minutes",Peter Jackson,"Noel Appleby, Ali Astin","Buy HD $17.99,Buy SD $9.99,"
28,"1 hour, 57 minutes",Clint Eastwood,"Clint Eastwood, Christopher Carley","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
29,"2 hours, 1 minute",Danny Boyle,"Dev Patel, Saurabh Shukla","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
30,6 minutes,Francis Lawrence,Jennifer Lawrence,"Buy SD Free,"
31,"2 hours, 21 minutes",Christopher Nolan,"Christian Bale, Michael Caine","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
32, 140 minutes ,Ron Howard,Tom Hanks,$8.70 
33, 116 minutes ,Dean Parisot,Bruce Willis,$7.50 
34,"1 hour, 50 minutes",Bobby Farrelly,"Jim Carrey, Jeff Daniels","Buy HD $12.99,Buy SD $9.99,"
35, 755 minutes ,Mike McFarland,Sean Schemmel,$24.34 
36, 131 minutes ,Kevin Reynolds,Jim Caviezel,$9.99 
37,"1 hour, 47 minutes",Steven Soderbergh,"Gwyneth Paltrow, Tien You Chui","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
38,"1 hour, 48 minutes",Justin Lin,"Vin Diesel, Paul Walker","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
