id,time,director,year,star1,star2,star3,star4,star5,star6,rotten_tomatoes,audience_rating,review1,review2,review3,review4,review5
1,1 hr. 45 min.,Alex March,1969,Ryan O'Neal,Leigh Taylor-Young,Van Heflin,Lee Grant,James Daly,Robert Webber,0,29,"Alex March takes his sweet time getting us to even a small bounce, much less the titular big one.",,,,
2,1 hr. 20 min.,Young Man Kang,2001,Ron Becks,Luciano Saber,Soo J. Kim,Renatta Mitchell,Hiromi Nishiyama,Jong O. Chung,0,0,High-energy film kick.,,,,
3,2 hr. 24 min.,Cheung Yuen-ting,1996,Maggie Cheung,Vivian Wu,Winston Chao,Hsing-kuo Wu,Jiang Wen,Elaine Jin,0,80,,,,,
4,1 hr. 46 min.,Andrew V. McLaglen,1968,James Stewart,Dean Martin,George Kennedy,Raquel Welch,Andrew Prine,Clint Ritchie,20,49,,,,,"Buoyed by a strong cast and carried by an interesting mix of genre sensibilities, it's a film that may not have much lasting value but is fun nonetheless."
5,1 hr. 40 min.,Tony Richardson,1970,Jack Allan,Claire Balmford,Tony Bazell,Kurt Beimel,Ben Blakeney,Michael Boddy,43,28,,,,"Clunky, slow Mick Jagger starrer directed by Tony Richardson.","Curiously though, as it so often does, the rare convergence of everything gone wrong makes for pretty compulsive viewing."
6,1 hr. 34 min.,John Mackenzie,2003,Michael Caine,Judith Godr̬che,Michael Keaton,Rade Serbedzija,William Beck,Matthew Marsh,0,19,Caine admits in the DVD interviews that he did this forgettable thriller as an excuse to spend the winter in the South of France. Keaton's nowhere to be found in the interview section as if he was embarrassed to have been involved.,Even fans of either Michael will find themselves alternately confused and bored out of their skulls.,,,
7,2 hr. 12 min.,Ken Annakin,1965,James Fox,Sarah Miles,Stuart Whitman,Jean-Pierre Cassel,Alberto Sordi,Robert Morley,71,77,,Top gun of slapstick early-aviation comedies.,"Funny, zany and full of magnificent vintage airplanes; Red Skelton open and close is great.","Goofy ""great race"" fun.","...part slapstick, part spectacle, and part adventure, but most of all it's sweet, lighthearted fun."
8,1 hr. 28 min.,Masaaki Tezuka,2002,Yumiko Shaku,Shin Takuma,Kana Onodera,Koh Takasugi,Yusuke Tomoi,Jun'ichi Mizuno,0,69,"A serviceable movie, but overall not a very fun one.",,,,
9,,See-Yuen Ng,1977,John Liu,Jang Lee Hwang,Chiang Wang,Corey Yuen,Yuen Kwai,Wong Cheng Li,0,50,,,,,
10,1 hr. 47 min.,Dante Lam,2003,Charlene Choi,Gillian Chung,Ekin Cheng,,,,0,53,"The martial arts action is frequently fun to watch...but these good bits and pieces are stitched together by means of a screenplay that is unusually incoherent, even by the diminished standards of dumb action movies.",,,,
